epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
169,6092.55,0.94386,1.04532,1.24623,0.72564,0.61256,0.68296,0.47341,1.07364,1.04272,1.20389,0.001684,0.001684,0.001684
170,6128.16,0.92701,1.03736,1.23726,0.72486,0.61322,0.68336,0.47359,1.07289,1.04124,1.20331,0.0016345,0.0016345,0.0016345
171,6164.68,0.9392,1.03376,1.23652,0.72523,0.61409,0.68392,0.47406,1.07249,1.04065,1.20272,0.001585,0.001585,0.001585
172,6200.18,0.93375,1.03104,1.2367,0.72714,0.61369,0.68416,0.47422,1.07212,1.03942,1.20244,0.0015355,0.0015355,0.0015355
173,6236.19,0.93508,1.03602,1.23892,0.72671,0.61562,0.68472,0.47444,1.07174,1.03868,1.20202,0.001486,0.001486,0.001486
174,6272.05,0.92552,1.02305,1.23071,0.73073,0.61314,0.68534,0.47493,1.07158,1.0377,1.20158,0.0014365,0.0014365,0.0014365
175,6308.37,0.92669,1.01586,1.23072,0.72865,0.61524,0.68573,0.47531,1.0706,1.03687,1.2009,0.001387,0.001387,0.001387
176,6344.09,0.93081,1.02294,1.23435,0.73138,0.61486,0.68637,0.47561,1.07018,1.03562,1.20041,0.0013375,0.0013375,0.0013375
177,6379.61,0.92624,1.02252,1.23491,0.73314,0.61447,0.6868,0.47606,1.06969,1.03454,1.19993,0.001288,0.001288,0.001288
178,6415.49,0.92904,1.02003,1.23253,0.73345,0.61486,0.68731,0.4765,1.06949,1.03358,1.19974,0.0012385,0.0012385,0.0012385
179,6451.68,0.92731,1.01443,1.22994,0.73369,0.61524,0.68749,0.47683,1.06895,1.03287,1.19914,0.001189,0.001189,0.001189
180,6487.58,0.92383,1.00901,1.23016,0.73361,0.61789,0.68823,0.47698,1.06863,1.03205,1.19869,0.0011395,0.0011395,0.0011395
181,6523.48,0.92106,0.99715,1.22596,0.73482,0.6175,0.68869,0.47777,1.06862,1.0312,1.19849,0.00109,0.00109,0.00109
